city,year,weekofyear,total_cases
sj,2010,30,15
sj,2010,31,11
sj,2010,32,10
sj,2010,33,9
sj,2010,34,9
sj,2010,35,11
sj,2010,36,11
sj,2010,37,11
sj,2010,38,11
sj,2010,39,13
sj,2010,40,19
sj,2010,41,20
sj,2010,42,21
sj,2010,43,20
sj,2010,44,25
sj,2010,45,27
sj,2010,46,28
sj,2010,47,47
sj,2010,48,42
sj,2010,49,77
sj,2010,50,26
sj,2010,51,24
sj,2011,52,41
sj,2011,1,120
sj,2011,2,85
sj,2011,3,83
sj,2011,4,87
sj,2011,5,84
sj,2011,6,91
sj,2011,7,80
sj,2011,8,83
sj,2011,9,108
sj,2011,10,96
sj,2011,11,83
sj,2011,12,78
sj,2011,13,39
sj,2011,14,39
sj,2011,15,37
sj,2011,16,69
sj,2011,17,37
sj,2011,18,38
sj,2011,19,30
sj,2011,20,37
sj,2011,21,32
sj,2011,22,19
sj,2011,23,19
sj,2011,24,14
sj,2011,25,14
sj,2011,26,13
sj,2011,27,17
sj,2011,28,21
sj,2011,29,17
sj,2011,30,13
sj,2011,31,14
sj,2011,32,11
sj,2011,33,9
sj,2011,34,11
sj,2011,35,12
sj,2011,36,14
sj,2011,37,11
sj,2011,38,12
sj,2011,39,18
sj,2011,40,19
sj,2011,41,24
sj,2011,42,24
sj,2011,43,23
sj,2011,44,24
sj,2011,45,20
sj,2011,46,21
sj,2011,47,44
sj,2011,48,44
sj,2011,49,42
sj,2011,50,49
sj,2011,51,78
sj,2012,52,48
sj,2012,1,68
sj,2012,2,85
sj,2012,3,91
sj,2012,4,118
sj,2012,5,118
sj,2012,6,117
sj,2012,7,85
sj,2012,8,113
sj,2012,9,73
sj,2012,10,67
sj,2012,11,83
sj,2012,12,78
sj,2012,13,39
sj,2012,14,38
sj,2012,15,37
sj,2012,16,37
sj,2012,17,37
sj,2012,18,29
sj,2012,19,38
sj,2012,20,19
sj,2012,21,34
sj,2012,22,18
sj,2012,23,14
sj,2012,24,12
sj,2012,25,12
sj,2012,26,12
sj,2012,27,13
sj,2012,28,14
sj,2012,29,12
sj,2012,30,13
sj,2012,31,11
sj,2012,32,12
sj,2012,33,9
sj,2012,34,9
sj,2012,35,14
sj,2012,36,11
sj,2012,37,10
sj,2012,38,11
sj,2012,39,12
sj,2012,40,19
sj,2012,41,20
sj,2012,42,24
sj,2012,43,20
sj,2012,44,18
sj,2012,45,14
sj,2012,46,15
sj,2012,47,19
sj,2012,48,20
sj,2012,49,23
sj,2012,50,43
sj,2012,51,43
sj,2013,1,84
sj,2013,2,68
sj,2013,3,97
sj,2013,4,91
sj,2013,5,81
sj,2013,6,117
sj,2013,7,84
sj,2013,8,80
sj,2013,9,74
sj,2013,10,63
sj,2013,11,52
sj,2013,12,78
sj,2013,13,21
sj,2013,14,21
sj,2013,15,19
sj,2013,16,32
sj,2013,17,37
iq,2010,26,11
iq,2010,27,12
iq,2010,28,11
iq,2010,29,17
iq,2010,30,11
iq,2010,31,10
iq,2010,32,10
iq,2010,33,10
iq,2010,34,9
iq,2010,35,9
iq,2010,36,7
iq,2010,37,5
iq,2010,38,5
iq,2010,39,4
iq,2010,40,6
iq,2010,41,3
iq,2010,42,3
iq,2010,43,3
iq,2010,44,3
iq,2010,45,3
iq,2010,46,4
iq,2010,47,2
iq,2010,48,3
iq,2010,49,2
iq,2010,50,2
iq,2010,51,2
iq,2011,52,11
iq,2011,1,7
iq,2011,2,7
iq,2011,3,8
iq,2011,4,9
iq,2011,5,10
iq,2011,6,7
iq,2011,7,12
iq,2011,8,13
iq,2011,9,28
iq,2011,10,37
iq,2011,11,11
iq,2011,12,12
iq,2011,13,10
iq,2011,14,7
iq,2011,15,14
iq,2011,16,14
iq,2011,17,6
iq,2011,18,9
iq,2011,19,25
iq,2011,20,29
iq,2011,21,8
iq,2011,22,23
iq,2011,23,15
iq,2011,24,12
iq,2011,25,30
iq,2011,26,27
iq,2011,27,27
iq,2011,28,17
iq,2011,29,10
iq,2011,30,26
iq,2011,31,13
iq,2011,32,11
iq,2011,33,9
iq,2011,34,9
iq,2011,35,10
iq,2011,36,6
iq,2011,37,5
iq,2011,38,5
iq,2011,39,5
iq,2011,40,4
iq,2011,41,4
iq,2011,42,3
iq,2011,43,3
iq,2011,44,2
iq,2011,45,3
iq,2011,46,2
iq,2011,47,3
iq,2011,48,2
iq,2011,49,2
iq,2011,50,7
iq,2011,51,12
iq,2012,52,3
iq,2012,1,13
iq,2012,2,19
iq,2012,3,8
iq,2012,4,10
iq,2012,5,9
iq,2012,6,9
iq,2012,7,13
iq,2012,8,7
iq,2012,9,28
iq,2012,10,15
iq,2012,11,15
iq,2012,12,14
iq,2012,13,6
iq,2012,14,28
iq,2012,15,11
iq,2012,16,20
iq,2012,17,9
iq,2012,18,10
iq,2012,19,24
iq,2012,20,19
iq,2012,21,12
iq,2012,22,8
iq,2012,23,9
iq,2012,24,24
iq,2012,25,15
iq,2012,26,13
iq,2012,27,22
iq,2012,28,12
iq,2012,29,12
iq,2012,30,28
iq,2012,31,14
iq,2012,32,9
iq,2012,33,10
iq,2012,34,8
iq,2012,35,9
iq,2012,36,6
iq,2012,37,5
iq,2012,38,5
iq,2012,39,5
iq,2012,40,4
iq,2012,41,3
iq,2012,42,3
iq,2012,43,3
iq,2012,44,3
iq,2012,45,3
iq,2012,46,3
iq,2012,47,9
iq,2012,48,2
iq,2012,49,2
iq,2012,50,1
iq,2012,51,1
iq,2013,1,15
iq,2013,2,11
iq,2013,3,10
iq,2013,4,10
iq,2013,5,11
iq,2013,6,8
iq,2013,7,9
iq,2013,8,14
iq,2013,9,15
iq,2013,10,30
iq,2013,11,11
iq,2013,12,8
iq,2013,13,6
iq,2013,14,9
iq,2013,15,13
iq,2013,16,6
iq,2013,17,17
iq,2013,18,8
iq,2013,19,7
iq,2013,20,19
iq,2013,21,8
iq,2013,22,8
iq,2013,23,9
iq,2013,24,27
iq,2013,25,19
iq,2013,26,13
